job_name,experiment,delta,property_file,search_option,search_type,profile,time,mem_per_cpu,cpus_per_task,threads,partition,submit_group,note
pw5_d2_pbfs,pw5,2,properties/d_2.txt,none,pbfs,OOM,1-00:00:00,16G,32,32,bigmem,expanded-resource,Old run hit the memory cap. This uses about 512G total memory.
pw5_d2_pibfs,pw5,2,properties/d_2.txt,none,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw5_d2_premise_pbfs,pw5,2,properties/d_2.txt,premise,pbfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw5_d2_premise_pibfs,pw5,2,properties/d_2.txt,premise,pibfs,default,1-00:00:00,5G,32,32,,standard,"Default all-experiment profile: 32 CPUs, 32 threads, about 160G total memory."
pw5_d3_pbfs,pw5,3,properties/d_3.txt,none,pbfs,OOM,1-00:00:00,16G,32,32,bigmem,expanded-resource,Old run hit the memory cap. This uses about 512G total memory.
pw5_d3_pibfs,pw5,3,properties/d_3.txt,none,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw5_d3_premise_pbfs,pw5,3,properties/d_3.txt,premise,pbfs,OOM,1-00:00:00,16G,32,32,bigmem,expanded-resource,Old run hit the memory cap. This uses about 512G total memory.
pw5_d3_premise_pibfs,pw5,3,properties/d_3.txt,premise,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw5_d4_pbfs,pw5,4,properties/d_4.txt,none,pbfs,OOM,1-00:00:00,16G,32,32,bigmem,expanded-resource,Old run hit the memory cap. This uses about 512G total memory.
pw5_d4_pibfs,pw5,4,properties/d_4.txt,none,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw5_d4_premise_pbfs,pw5,4,properties/d_4.txt,premise,pbfs,OOM,1-00:00:00,16G,32,32,bigmem,expanded-resource,Old run hit the memory cap. This uses about 512G total memory.
pw5_d4_premise_pibfs,pw5,4,properties/d_4.txt,premise,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw5_d5_pbfs,pw5,5,properties/d_5.txt,none,pbfs,OOM,1-00:00:00,16G,32,32,bigmem,expanded-resource,Old run hit the memory cap. This uses about 512G total memory.
pw5_d5_pibfs,pw5,5,properties/d_5.txt,none,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw5_d5_premise_pbfs,pw5,5,properties/d_5.txt,premise,pbfs,OOM,1-00:00:00,16G,32,32,bigmem,expanded-resource,Old run hit the memory cap. This uses about 512G total memory.
pw5_d5_premise_pibfs,pw5,5,properties/d_5.txt,premise,pibfs,TIMEOUT,1-00:00:00,5G,32,32,,expanded-resource,Old run hit the wall-time limit. This keeps the paper-matching one-day wall time.
pw5_d3_premise_pibfs_paper_flagship_normal,pw5,3,properties/d_3.txt,premise,pibfs,paper_flagship_normal,3-00:00:00,2G,52,104,normal,paper-flagship,Paper flagship normal rerun for pw=5 Delta=3 premise PIBFS.
pw5_d3_premise_pibfs_paper_flagship_bigmem,pw5,3,properties/d_3.txt,premise,pibfs,paper_flagship_bigmem,3-00:00:00,2G,64,256,bigmem,paper-flagship,Paper flagship big-memory rerun for pw=5 Delta=3 premise PIBFS.
