experiment,delta,search_option,search_type,reason
pw2,5,none,pibfs,TIMEOUT
pw3,2,none,pbfs,OOM
pw3,3,none,pbfs,OOM
pw3,5,none,pibfs,TIMEOUT
pw4,2,none,pbfs,OOM
pw4,2,none,pibfs,OOM
pw4,3,none,pbfs,OOM
pw4,3,none,pibfs,OOM
pw4,4,none,pbfs,OOM
pw4,4,none,pibfs,OOM
pw4,5,none,pbfs,OOM
pw4,5,none,pibfs,OOM
pw4,5,premise,pbfs,OOM
pw5,2,none,pbfs,OOM
pw5,2,none,pibfs,TIMEOUT
pw5,3,none,pbfs,OOM
pw5,3,none,pibfs,TIMEOUT
pw5,3,premise,pbfs,OOM
pw5,3,premise,pibfs,TIMEOUT
pw5,4,none,pbfs,OOM
pw5,4,none,pibfs,TIMEOUT
pw5,4,premise,pbfs,OOM
pw5,4,premise,pibfs,TIMEOUT
pw5,5,none,pbfs,OOM
pw5,5,none,pibfs,TIMEOUT
pw5,5,premise,pbfs,OOM
pw5,5,premise,pibfs,TIMEOUT
tw1,2,none,pbfs,TIMEOUT
tw1,2,none,pibfs,SEGFAULT
tw1,3,none,pbfs,TIMEOUT
tw1,3,none,pibfs,SEGFAULT
tw1,4,none,pbfs,TIMEOUT
tw1,4,none,pibfs,TIMEOUT
tw1,5,none,pbfs,TIMEOUT
tw1,5,none,pibfs,SEGFAULT
tw2,2,none,pbfs,TIMEOUT
tw2,2,none,pibfs,TIMEOUT
tw2,3,none,pbfs,TIMEOUT
tw2,3,none,pibfs,TIMEOUT
tw2,4,none,pbfs,TIMEOUT
tw2,4,none,pibfs,TIMEOUT
tw2,5,none,pbfs,TIMEOUT
tw2,5,none,pibfs,TIMEOUT
tw3,2,none,pbfs,OOM
tw3,2,none,pibfs,TIMEOUT
tw3,3,none,pbfs,OOM
tw3,3,none,pibfs,TIMEOUT
tw3,4,none,pbfs,OOM
tw3,4,none,pibfs,TIMEOUT
tw3,4,premise,pbfs,TIMEOUT
tw3,5,none,pbfs,OOM
tw3,5,none,pibfs,TIMEOUT
tw3,5,premise,pbfs,TIMEOUT
tw3,5,premise,pibfs,TIMEOUT
tw4,2,none,pbfs,OOM
tw4,2,none,pibfs,TIMEOUT
tw4,3,none,pbfs,OOM
tw4,3,none,pibfs,TIMEOUT
tw4,3,premise,pbfs,TIMEOUT
tw4,3,premise,pibfs,TIMEOUT
tw4,4,none,pbfs,OOM
tw4,4,none,pibfs,TIMEOUT
tw4,4,premise,pbfs,TIMEOUT
tw4,4,premise,pibfs,TIMEOUT
tw4,5,none,pbfs,OOM
tw4,5,none,pibfs,TIMEOUT
tw4,5,premise,pbfs,TIMEOUT
tw4,5,premise,pibfs,TIMEOUT
